weather_code,temperature_2m_max,temperature_2m_mean,sunshine_duration,precipitation_sum,rain_sum,wind_speed_10m_max,label
51,32.4,25.6,39052.5,0.1,0.1,18.1,el nino
2,32.5,26,40990.7,0,0,16,el nino
3,32,25.1,39683.52,0,0,17.8,el nino
1,33.2,25.3,41048.21,0,0,14.8,el nino
2,32.4,25.1,40007.96,0,0,17.6,el nino
1,32,24.8,41105.91,0,0,15.5,el nino
2,32.7,25.2,40568.17,0,0,14,el nino
51,32.7,25.5,41163.63,0.2,0.2,14.3,el nino
2,33.9,26,41192.46,0,0,15,el nino
1,34.1,26.6,41221.24,0,0,15.9,el nino
1,33,26.3,41249.95,0,0,16.3,el nino
1,33.3,26.2,41278.58,0,0,13.5,el nino
1,33.1,26.4,41307.11,0,0,16.6,el nino
2,32.7,26.1,41335.51,0,0,16.5,el nino
1,33.6,26.4,41363.78,0,0,16.3,el nino
63,22.3,21.7,0,24.5,24.5,8.4,el nino
63,23,21.8,626.98,23.7,23.7,8.7,el nino
55,23.7,22,30743.96,7.5,7.5,9.1,el nino
53,25.5,22.4,28800,2.4,2.4,7.3,el nino
55,24.3,22.4,33045.4,3.9,3.9,8.8,el nino
63,23.6,22.2,23592.03,12.8,12.8,11.5,el nino
61,23,21.7,6726.49,19.8,19.8,13.6,el nino
61,24.2,22.2,17940.74,12.1,12.1,6.1,el nino
61,24.9,22.3,37836.6,4.8,4.8,11.5,el nino
51,24.7,22,39150.71,0.6,0.6,13.2,el nino
51,24,21.4,39165.84,1.8,1.8,14.4,el nino
51,23.9,21.6,36259.06,0.8,0.8,12.5,el nino
55,22.8,21.7,26887.37,10.9,10.9,13.8,el nino
55,23.7,21.6,34591.7,7,7,12,el nino
53,24.3,21.6,34429.11,5.7,5.7,11.7,el nino
53,23,21.1,34930.68,3.8,3.8,9.6,el nino
51,23.8,21.2,39248.6,0.9,0.9,13.9,el nino
51,24.9,21.8,39260.99,0.6,0.6,13.5,el nino
53,23.2,20.8,39178.68,3.2,3.2,14.7,el nino
1,23.3,20.3,39285.36,0,0,11.1,el nino
